,Total Drones,Active Drones,Collisions,Completed Deliveries,Avg Delivery Time [minutes],Deliveries Per Minute,Time Per Meter [seconds],Min Altitude,Mean Altitude,Max Altitude
138,40,40,0,5,0.8466666666666666,2.158273381294964,0.5990566037735849,9.0,63.58961709052162,102.40708855944102
139,40,40,0,5,0.8466666666666666,2.142857142857143,0.5990566037735849,14.0,64.02614534060531,101.40285788610001
140,40,40,0,5,0.8466666666666666,2.127659574468085,0.5990566037735849,19.0,64.77650165524805,103.77415610064169
141,40,40,0,5,0.8466666666666666,2.1126760563380285,0.5990566037735849,24.0,63.29060772677265,101.34905476129295
142,40,40,0,5,0.8466666666666666,2.097902097902098,0.5990566037735849,21.145119132341975,63.38788172466165,101.54710168434514
143,40,40,0,5,0.8466666666666666,2.0833333333333335,0.5990566037735849,18.145119132341975,63.39145516185654,101.59334002360215
144,40,40,0,5,0.8466666666666666,2.0689655172413794,0.5990566037735849,15.145119132341975,62.87559501050767,101.42436388433057
145,40,40,0,5,0.8466666666666666,2.054794520547945,0.5990566037735849,12.145119132341975,63.5553863632033,101.47515630564502
146,40,40,0,5,0.8466666666666666,2.0408163265306123,0.5990566037735849,9.145119132341975,63.08789248681008,100.62374401560515
147,40,40,0,5,0.8466666666666666,2.027027027027027,0.5990566037735849,9.145119132341975,62.50151681941636,100.78877439542767
148,40,40,0,5,0.8466666666666666,2.0134228187919465,0.5990566037735849,9.0,62.10274269969021,100.84377306039332
149,40,40,0,5,0.8466666666666666,2.0,0.5990566037735849,9.0,62.084274828302945,100.96682278031837
150,40,40,0,6,0.836111111111111,2.384105960264901,0.587890625,9.17338121551667,62.93224826126855,100.84249328924116
151,40,40,0,7,0.7952380952380953,2.763157894736842,0.6039783001808319,9.17338121551667,64.04370432730143,102.14630216058409
152,40,40,0,7,0.7952380952380953,2.7450980392156863,0.6039783001808319,14.17338121551667,63.91877367632937,101.3202352464614
153,40,40,0,7,0.7952380952380953,2.7272727272727275,0.6039783001808319,19.17338121551667,63.20681763826993,101.27114663996272
154,40,40,0,7,0.7952380952380953,2.7096774193548385,0.6039783001808319,21.1949036145381,64.20956551612304,101.45618415567239
155,40,40,0,7,0.7952380952380953,2.6923076923076925,0.6039783001808319,18.589231714775153,64.73323374899086,101.49816716639256
156,40,40,0,7,0.7952380952380953,2.6751592356687897,0.6039783001808319,15.589231714775153,65.08121477869852,101.65962180988956
157,40,40,0,7,0.7952380952380953,2.6582278481012658,0.6039783001808319,12.589231714775153,64.2009186132937,101.50533115125377
158,40,40,0,7,0.7952380952380953,2.641509433962264,0.6039783001808319,9.589231714775153,63.88686775096015,101.4913832614727
159,40,40,0,7,0.7952380952380953,2.625,0.6039783001808319,9.589231714775153,64.67572660140193,101.52305891961126
160,40,40,0,7,0.7952380952380953,2.608695652173913,0.6039783001808319,14.589231714775153,65.46964804511668,101.41279240836647
161,40,40,0,7,0.7952380952380953,2.5925925925925926,0.6039783001808319,16.1949036145381,64.7421650665671,101.51863608656703
162,40,40,0,7,0.7952380952380953,2.5766871165644174,0.6039783001808319,13.194903614538099,64.51163629631377,101.69603524237544
163,40,40,0,7,0.7952380952380953,2.5609756097560976,0.6039783001808319,10.194903614538099,65.04017159045955,101.88959093549231
164,40,40,0,7,0.7952380952380953,2.5454545454545454,0.6039783001808319,9.0,64.65360639314163,101.83477888971687
165,40,39,0,7,0.7952380952380953,2.5301204819277108,0.6039783001808319,30.62364258551571,65.11750808032868,101.92354255759675
166,40,40,0,7,0.7952380952380953,2.5149700598802394,0.6039783001808319,15.0,62.69061953719637,102.10577050041934
167,40,40,0,7,0.7952380952380953,2.5,0.6039783001808319,20.0,62.80304657859593,102.1640644902294
168,40,40,0,7,0.7952380952380953,2.4852071005917162,0.6039783001808319,21.62364258551571,62.489040627880286,102.22364743566028
169,40,40,0,7,0.7952380952380953,2.4705882352941178,0.6039783001808319,18.62364258551571,62.500880785607215,102.10000460762328
170,40,40,0,7,0.7952380952380953,2.4561403508771926,0.6039783001808319,15.62364258551571,61.705170160847466,102.08284962677413
171,40,40,0,7,0.7952380952380953,2.4418604651162794,0.6039783001808319,12.62364258551571,61.370688626977405,101.91475189540452
172,40,40,0,7,0.7952380952380953,2.4277456647398843,0.6039783001808319,9.62364258551571,60.578505568199354,103.29946307538312
173,40,40,0,7,0.7952380952380953,2.413793103448276,0.6039783001808319,9.62364258551571,60.404652556214515,104.024450824791
174,40,40,0,7,0.7952380952380953,2.4,0.6039783001808319,9.548231004632612,59.96813347714584,104.01079683069054
175,40,40,0,7,0.7952380952380953,2.3863636363636362,0.6039783001808319,9.548231004632612,58.6426043216484,102.07933685099138
176,40,40,0,7,0.7952380952380953,2.3728813559322037,0.6039783001808319,9.0,58.65031779404002,103.91942748695496
177,40,40,0,8,0.9229166666666667,2.696629213483146,0.6582466567607727,9.0,58.319810804608494,104.05348623041394
178,40,40,0,8,0.9229166666666667,2.681564245810056,0.6582466567607727,11.644196167866028,58.60802465000372,104.65939261704547
179,40,40,0,8,0.9229166666666667,2.666666666666667,0.6582466567607727,9.5,58.368586972701294,104.62958212964327
180,40,40,0,9,0.9037037037037037,2.983425414364641,0.6853932584269663,9.5,59.14608131954151,104.49517545251574
181,40,40,0,9,0.9037037037037037,2.9670329670329667,0.6853932584269663,11.179115146298983,58.58692430233923,102.23292910550062
182,40,40,0,9,0.9037037037037037,2.9508196721311473,0.6853932584269663,9.5,58.39708749051107,102.18518013237433
183,40,40,0,10,1.0216666666666667,3.260869565217391,0.649364406779661,9.5,58.743698678920985,102.07936158723591
184,40,40,0,11,1.0212121212121212,3.5675675675675675,0.6455938697318008,9.5,58.17098361402211,101.96675937239874
185,40,40,0,11,1.0212121212121212,3.548387096774194,0.6455938697318008,14.5,58.180702991350735,101.94132825843913
186,40,40,0,11,1.0212121212121212,3.5294117647058822,0.6455938697318008,12.95033259503775,59.09341527595948,101.89581066845314
187,40,40,0,11,1.0212121212121212,3.5106382978723403,0.6455938697318008,9.95033259503775,58.36834838624901,102.01961075829803
188,40,40,0,12,1.0375,3.8095238095238093,0.6439655172413793,9.95033259503775,58.07503828822962,101.83811865970026
189,40,40,0,12,1.0375,3.7894736842105265,0.6439655172413793,11.635202977199057,56.96709293368734,101.65554263640576
190,40,40,0,12,1.0375,3.769633507853403,0.6439655172413793,9.5,55.73694331870662,101.65288915235563
191,40,40,0,13,1.0846153846153848,4.0625,0.6360902255639098,9.0,55.6814739680481,101.61081518807431
192,40,39,0,13,1.0846153846153848,4.041450777202073,0.6360902255639098,9.0,58.220338245795396,101.58531634599069
193,40,40,0,14,1.119047619047619,4.329896907216495,0.6208718626155878,9.5,57.712797944282954,101.48845401093149
194,40,40,0,14,1.119047619047619,4.3076923076923075,0.6208718626155878,14.5,57.43134506941718,101.44349038196046
195,40,40,0,14,1.119047619047619,4.285714285714286,0.6208718626155878,12.554883816744393,57.885921092693295,101.34015225638369
196,40,40,0,14,1.119047619047619,4.2639593908629445,0.6208718626155878,9.554883816744393,58.21145834326336,101.39776624202109
197,40,40,0,14,1.119047619047619,4.242424242424242,0.6208718626155878,9.554883816744393,58.1958026417773,101.6146729705107
198,40,40,0,14,1.119047619047619,4.221105527638191,0.6208718626155878,12.05982799040244,59.75634658377233,101.61309532696318
199,40,40,0,14,1.119047619047619,4.2,0.6208718626155878,9.05982799040244,59.51824779282765,101.42488780651561
200,40,39,0,14,1.119047619047619,4.179104477611941,0.6208718626155878,9.0,60.56990201910654,101.32562540642924
201,40,39,0,14,1.119047619047619,4.158415841584159,0.6208718626155878,13.569439378014891,60.50312390330808,101.60381385873599
202,40,40,0,14,1.119047619047619,4.137931034482759,0.6208718626155878,10.569439378014891,59.461832253255025,101.7702232725157
203,40,40,0,14,1.119047619047619,4.11764705882353,0.6208718626155878,9.5,59.42486494830534,101.7584784281064
204,40,40,0,15,1.0944444444444446,4.390243902439024,0.6318152661962797,9.5,59.21530348206638,101.94724895338136
205,40,40,0,15,1.0944444444444446,4.368932038834951,0.6318152661962797,14.5,58.1760581135733,101.97855649701731
206,40,40,0,15,1.0944444444444446,4.3478260869565215,0.6318152661962797,17.048709672025723,58.051337270498536,102.17576406178019
207,40,40,0,15,1.0944444444444446,4.326923076923077,0.6318152661962797,14.048709672025723,58.44861919067837,102.06892295888345
